,date,link,company,field,place,round,amount,investor
138,2016.8.26,https://www.itjuzi.com/investevents/19821,新兴药房,电子商务,河北,战略投资,未透露,Morgan Stanley摩根士丹利
139,2016.8.26,https://www.itjuzi.com/investevents/19816,虎聘网,企业服务,江苏,天使轮,300万人民币,"宁夏安德投资有限公司,伊冠投资控股有限公司"
140,2016.8.26,https://www.itjuzi.com/investevents/19813,熊猫儿童大学,教育,北京,天使轮,600万人民币,"镭厉资本,北京按钮传媒"
141,2016.8.26,https://www.itjuzi.com/investevents/19807,好哥哥线上赛,游戏,北京,种子轮,300万人民币,投资方未透露
142,2016.8.26,https://www.itjuzi.com/investevents/19792,吉因加,医疗健康,北京,A轮,2亿人民币,"华大基因,火山石资本,松禾资本"
143,2016.8.26,https://www.itjuzi.com/investevents/19788,调调科技MYQUBIC,硬件,北京,Pre-A轮,5000万人民币,"梅花天使创投,青山资本"
144,2016.8.26,https://www.itjuzi.com/investevents/19786,e保养,汽车交通,北京,C轮,1.5亿人民币,源码资本
145,2016.8.25,https://www.itjuzi.com/investevents/20104,DFRobot智位机器人,硬件,上海,新三板,未透露,投资方未透露
146,2016.8.25,https://www.itjuzi.com/investevents/19767,黄金钱包G-banker,金融,北京,C轮,未透露,软银中国
147,2016.8.25,https://www.itjuzi.com/investevents/19761,欢乐口腔,医疗健康,北京,A轮,3.5亿人民币,"华泰紫金-华泰证券,中卫基金,世纪鼎利"
148,2016.8.25,https://www.itjuzi.com/investevents/19747,护眼宝,医疗健康,广东,天使轮,150万人民币,创新谷Innovalley
149,2016.8.25,https://www.itjuzi.com/investevents/19746,群星金融,金融,上海,B+轮,1.5亿人民币,"曦域资本,前海母基金"
150,2016.8.25,https://www.itjuzi.com/investevents/19741,开客,企业服务,上海,种子轮,100万人民币,投资方未透露
151,2016.8.25,https://www.itjuzi.com/investevents/19737,AcFun弹幕视频网(A站),文化娱乐,广东,战略投资,5000万人民币,华策影视
152,2016.8.25,https://www.itjuzi.com/investevents/19735,Health2Sync,医疗健康,台湾,A轮,300万美元,"Cherubic Ventures心元资本,SparkLabs Global Ventures"
153,2016.8.25,https://www.itjuzi.com/investevents/19733,趣医院-趣医网络,医疗健康,上海,B+轮,2.16亿人民币,"软银中国,弘晖资本,百度"
154,2016.8.25,https://www.itjuzi.com/investevents/19732,上海京颐科技KingYee,医疗健康,上海,C轮,9700万人民币,"软银中国,鼎晖投资,盛世景投资"
155,2016.8.25,https://www.itjuzi.com/investevents/19731,魔方金服,房产服务,上海,A轮,9500万人民币,"戈壁投资,凯泰资本"
156,2016.8.25,https://www.itjuzi.com/investevents/19730,蓝海智投(蓝海财富),金融,北京,Pre-A轮,1500万人民币,老鹰基金EaglesFund
157,2016.8.24,https://www.itjuzi.com/investevents/20185,利楚商务,金融,湖北,Pre-A轮,数千万人民币,富友金融
158,2016.8.24,https://www.itjuzi.com/investevents/19894,抠电影(指点无限),文化娱乐,北京,C轮,未透露,投资方未透露
159,2016.8.24,https://www.itjuzi.com/investevents/19726,中文在线,文化娱乐,北京,IPO上市后,20亿人民币,投资方未透露
160,2016.8.24,https://www.itjuzi.com/investevents/19725,微在WeZeit,文化娱乐,北京,Pre-A轮,1000万人民币,投资方未透露
161,2016.8.24,https://www.itjuzi.com/investevents/19715,加速云,企业服务,浙江,天使轮,数千万人民币,如山投资
162,2016.8.24,https://www.itjuzi.com/investevents/19713,极豆车联网,汽车交通,上海,A轮,5300万人民币,"青云创投,知卓资本"
163,2016.8.24,https://www.itjuzi.com/investevents/19712,欧睿宇邦,房产服务,上海,A轮,6000万人民币,磁斯达克
164,2016.8.24,https://www.itjuzi.com/investevents/19711,康拓医疗,医疗健康,陕西,A轮,数千万人民币,弘晖资本
165,2016.8.24,https://www.itjuzi.com/investevents/19706,鹏金所,金融,广东,战略投资,3亿人民币,万科集团
166,2016.8.24,https://www.itjuzi.com/investevents/19702,8天在线,本地生活,江苏,C轮,亿元及以上人民币,苏宁
167,2016.8.24,https://www.itjuzi.com/investevents/19699,家私烤,本地生活,北京,天使轮,数百万人民币,星河互联
168,2016.8.24,https://www.itjuzi.com/investevents/19696,悦游五洲,旅游,北京,Pre-A轮,800万人民币,投资方未透露
169,2016.8.24,https://www.itjuzi.com/investevents/19695,小旭音乐,文化娱乐,北京,A轮,数千万人民币,投资方未透露
170,2016.8.24,https://www.itjuzi.com/investevents/19693,光猪圈健身,体育运动,北京,Pre-A轮,1200万人民币,"探路者和同体育产业并购基金,中企会投资"
171,2016.8.24,https://www.itjuzi.com/investevents/19691,Testin云测网络,企业服务,北京,C轮,3000万美元,投资方未透露
172,2016.8.24,https://www.itjuzi.com/investevents/19660,幼师口袋,教育,上海,Pre-A轮,1000万人民币,"海捷投资,明势资本,华创资本,未来工场"
173,2016.8.23,https://www.itjuzi.com/investevents/20021,鹍远基因,医疗健康,上海,A轮,2000万美元,"礼来亚洲基金,松禾资本,辰德资本"
174,2016.8.23,https://www.itjuzi.com/investevents/19688,八爪鱼在线旅游,旅游,江苏,B轮,1.7亿人民币,腾邦国际
175,2016.8.23,https://www.itjuzi.com/investevents/19686,中声科技,硬件,北京,天使轮,数百万人民币,"朗玛峰创投,ONES Ventures"
176,2016.8.23,https://www.itjuzi.com/investevents/19680,U糖健康,医疗健康,上海,A+轮,数千万人民币,金库创投
177,2016.8.23,https://www.itjuzi.com/investevents/19679,喂啊科技,游戏,上海,A轮,1000万美元,幻维世界
178,2016.8.23,https://www.itjuzi.com/investevents/19671,销帮帮,企业服务,浙江,天使轮,900万人民币,"新德集团,上海嘉银金融"
179,2016.8.23,https://www.itjuzi.com/investevents/19669,VIPKID大米科技,教育,北京,战略投资,数千万美元,Bryant Stibel
180,2016.8.23,https://www.itjuzi.com/investevents/19667,斑马快跑,物流,湖北,B轮,1.5亿人民币,多氟多集团博嘉创投
181,2016.8.23,https://www.itjuzi.com/investevents/19664,荷格科技AdbugTech,广告营销,上海,A轮,数千万人民币,鸿金投资
182,2016.8.23,https://www.itjuzi.com/investevents/19661,Insta360,硬件,广东,B+轮,数千万人民币,苏宁
183,2016.8.23,https://www.itjuzi.com/investevents/19659,叮咚柠檬,本地生活,北京,天使轮,数千万人民币,普思资本
184,2016.8.23,https://www.itjuzi.com/investevents/19515,小马助手WiFiMaster,工具软件,上海,A轮,1000万美元,软银中国
185,2016.8.22,https://www.itjuzi.com/investevents/19656,喜茶HeekCaa,本地生活,广东,A轮,1亿人民币,"IDG资本,今日投资"
186,2016.8.22,https://www.itjuzi.com/investevents/19655,鱼尾户外,硬件,辽宁,天使轮,116万人民币,indiegogo
187,2016.8.22,https://www.itjuzi.com/investevents/19654,砍房团,房产服务,山东,Pre-A轮,1500万人民币,美乐创投基金
188,2016.8.22,https://www.itjuzi.com/investevents/19653,智享乐居,本地生活,北京,Pre-A轮,500万人民币,家电院
189,2016.8.22,https://www.itjuzi.com/investevents/19652,原色映画,文化娱乐,北京,种子轮,200万人民币,投资方未透露
190,2016.8.22,https://www.itjuzi.com/investevents/19651,心客,本地生活,江西,A轮,未透露,中科招商
191,2016.8.22,https://www.itjuzi.com/investevents/19649,一起好,金融,湖北,A轮,未透露,美锦能源
192,2016.8.22,https://www.itjuzi.com/investevents/19648,优腾教育,教育,浙江,天使轮,500万人民币,齐一资本
193,2016.8.22,https://www.itjuzi.com/investevents/19646,旺集科技UMKA商城,电子商务,福建,A轮,4500万人民币,"红石诚金,厦门海西明珠投资"
194,2016.8.22,https://www.itjuzi.com/investevents/19643,果派联合,文化娱乐,湖北,A轮,数千万人民币,经纬中国
195,2016.8.22,https://www.itjuzi.com/investevents/19642,天天电竞,游戏,北京,A轮,9000万人民币,"中科招商,中投公司"
196,2016.8.22,https://www.itjuzi.com/investevents/19638,博智软件,企业服务,江苏,B轮,3240万人民币,"宝安投资,达晨创投"
197,2016.8.22,https://www.itjuzi.com/investevents/19629,inmix音米眼镜,电子商务,北京,新三板,未透露,投资方未透露
198,2016.8.22,https://www.itjuzi.com/investevents/19628,达令,电子商务,北京,C轮,3亿人民币,"红杉资本中国,IDG资本,今日资本"
199,2016.8.20,https://www.itjuzi.com/investevents/19611,玩车教授,汽车交通,广东,A+轮,3600万人民币,广东文投国富
200,2016.8.19,https://www.itjuzi.com/investevents/19658,韵达快递,物流,上海,IPO上市,177.6亿人民币,新海股份
201,2016.8.19,https://www.itjuzi.com/investevents/19645,亿采网,电子商务,北京,A+轮,数千万人民币,"徽瑾创投(宝茂金融),西南证劵"
202,2016.8.19,https://www.itjuzi.com/investevents/19565,京东,电子商务,北京,IPO上市后,亿元及以上美元,腾讯
203,2016.8.19,https://www.itjuzi.com/investevents/19561,医数,医疗健康,浙江,天使轮,数百万人民币,凯利泰医疗科技有限公司
204,2016.8.19,https://www.itjuzi.com/investevents/19557,变态说,文化娱乐,北京,种子轮,40万人民币,蚂蚁天使
205,2016.8.19,https://www.itjuzi.com/investevents/19555,星桥数据,金融,广东,Pre-A轮,2000万人民币,中科招商
206,2016.8.19,https://www.itjuzi.com/investevents/19553,摩拜单车,硬件,北京,B轮,数千万美元,"熊猫资本,JOY Capital愉悦资本"
207,2016.8.19,https://www.itjuzi.com/investevents/19552,凡事网络,文化娱乐,上海,A轮,未透露,"松禾资本,联创永宣,冷笑话(飞博共创)"
208,2016.8.19,https://www.itjuzi.com/investevents/19551,智慧寺院网,社交网络,北京,A轮,1000万人民币,投资方未透露
209,2016.8.19,https://www.itjuzi.com/investevents/19550,全民财富,金融,上海,A+轮,数千万美元,悦达资本
210,2016.8.19,https://www.itjuzi.com/investevents/19548,差评(麻瓜网络),文化娱乐,浙江,Pre-A轮,数千万人民币,投资方未透露
