,date,link,company,field,place,round,amount,investor
83,2015.7.2,https://www.itjuzi.com/investevents/19059,跨境翼,电子商务,广东,A轮,5840万人民币,安赐资本
84,2015.7.2,https://www.itjuzi.com/investevents/19593,爱美影视,文化娱乐,上海,A轮,数千万人民币,磐谷创投
85,2015.7.2,https://www.itjuzi.com/investevents/19621,玩聚租租,电子商务,上海,天使轮,数百万人民币,青松基金
86,2015.7.1,https://www.itjuzi.com/investevents/17795,药材买卖网,医疗健康,上海,天使轮,1000万人民币,天使投资人王刚
87,2015.7.1,https://www.itjuzi.com/investevents/17939,乐钻易宝,金融,北京,天使轮,未透露,乐视网
88,2015.7.1,https://www.itjuzi.com/investevents/18429,Wicue,硬件,广东,Pre-A轮,1200万人民币,投资方未透露
89,2015.7.1,https://www.itjuzi.com/investevents/18898,熊猫签证,旅游,广东,天使轮,1000万人民币,薛蛮子
90,2015.7.1,https://www.itjuzi.com/investevents/11637,壹壹租车,汽车交通,北京,天使轮,1000万人民币,投资方未透露
91,2015.7.1,https://www.itjuzi.com/investevents/11952,趣学车,汽车交通,北京,天使轮,500万人民币,"梅花天使创投,安芙兰创投"
92,2015.7.1,https://www.itjuzi.com/investevents/12008,Viaplay集尚科技,游戏,广东,天使轮,数百万人民币,志成资本
93,2015.7.1,https://www.itjuzi.com/investevents/12117,口袋自考(口袋学习),教育,北京,天使轮,数百万人民币,险峰长青(险峰华兴)
94,2015.7.1,https://www.itjuzi.com/investevents/12212,KuickDeal西会科技,企业服务,北京,天使轮,500万人民币,"真格基金,极客帮创投"
95,2015.7.1,https://www.itjuzi.com/investevents/12498,Po校园,文化娱乐,浙江,天使轮,数百万人民币,"杭州基本粒子投资,银杏谷资本"
96,2015.7.1,https://www.itjuzi.com/investevents/12532,瑜伽你好,体育运动,陕西,种子轮,数百万人民币,投资方未透露
97,2015.7.1,https://www.itjuzi.com/investevents/12567,来分佣,房产服务,福建,天使轮,500万人民币,投资方未透露
98,2015.7.1,https://www.itjuzi.com/investevents/12681,阿牛直播,文化娱乐,上海,A轮,数千万人民币,江苏高科技投资
99,2015.7.1,https://www.itjuzi.com/investevents/13124,traview途闻,旅游,上海,天使轮,未透露,青锐创投
100,2015.7.1,https://www.itjuzi.com/investevents/13516,有感科技InvisPower,硬件,北京,天使轮,数百万人民币,清控科创控股
101,2015.7.1,https://www.itjuzi.com/investevents/13808,借点钱,金融,上海,天使轮,500万人民币,投资方未透露
102,2015.7.1,https://www.itjuzi.com/investevents/15007,买单侠,金融,上海,B轮,数千万美元,人人公司
103,2015.7.1,https://www.itjuzi.com/investevents/16234,叮当巴士,汽车交通,北京,天使轮,数百万人民币,华泽资本
104,2015.7.1,https://www.itjuzi.com/investevents/16702,在线医生,医疗健康,广东,种子轮,未透露,投资方未透露
105,2015.7.1,https://www.itjuzi.com/investevents/16716,大富翁股票,金融,北京,天使轮,未透露,孝昌水木投资(唐彬森)
106,2015.7.1,https://www.itjuzi.com/investevents/16827,Never Coffee爱我卡飞,电子商务,北京,天使轮,300万人民币,洪泰基金
107,2015.7.1,https://www.itjuzi.com/investevents/9424,目的地旅行网,旅游,广东,天使轮,数百万人民币,"创新谷Innovalley,英诺天使基金"
108,2015.7.1,https://www.itjuzi.com/investevents/9431,潮WiFi,企业服务,浙江,B轮,数千万人民币,华映资本
109,2015.7.1,https://www.itjuzi.com/investevents/9433,纷享逍客(纷享销客),企业服务,北京,D轮,1亿美元,"IDG资本,北极光创投,DCM中国"
110,2015.7.1,https://www.itjuzi.com/investevents/9434,壹家美食荟,电子商务,江苏,A轮,5100万人民币,中科招商
111,2015.7.1,https://www.itjuzi.com/investevents/9435,易随诊,医疗健康,北京,A轮,2000万人民币,投资方未透露
112,2015.7.1,https://www.itjuzi.com/investevents/9436,炒饭APP,金融,北京,天使轮,3000万人民币,"明势资本,梅花天使创投,源码资本"
113,2015.7.1,https://www.itjuzi.com/investevents/9450,互动百科集团,文化娱乐,北京,D轮,2.8亿人民币,"盛景网联(盛景嘉成),晨晖资本"
114,2015.7.1,https://www.itjuzi.com/investevents/9487,买卖宝,电子商务,江苏,D轮,未透露,"京东,腾讯"
115,2015.7.1,https://www.itjuzi.com/investevents/9723,画啦啦少儿美术课堂,教育,广东,天使轮,数百万人民币,未来工场
116,2015.7.1,https://www.itjuzi.com/investevents/9728,音乐笔记-银河润泰,教育,北京,天使轮,数百万人民币,未来工场
117,2015.6.30,https://www.itjuzi.com/investevents/9401,斯蒂克科技SDK.CN,企业服务,北京,天使轮,300万人民币,太浩创投
118,2015.6.30,https://www.itjuzi.com/investevents/9411,初炼,体育运动,北京,Pre-A轮,3000万人民币,"动域资本,君联资本,联想之星"
119,2015.6.30,https://www.itjuzi.com/investevents/9412,车发发,汽车交通,广东,Pre-A轮,3000万人民币,青松基金
120,2015.6.30,https://www.itjuzi.com/investevents/9414,汇通达,电子商务,江苏,A轮,5亿人民币,毅达资本
121,2015.6.30,https://www.itjuzi.com/investevents/9416,昂尼斯特,教育,河南,天使轮,500万人民币,投资方未透露
122,2015.6.30,https://www.itjuzi.com/investevents/9486,氧气Bra,电子商务,上海,A轮,数千万人民币,"SIG海纳亚洲,零一创投,有成资本"
